,S.NO,Name,Nationality,Current Rank,Sport,Year,earnings_million
0,1,Mike Tyson,USA,1,Boxing,1990,28.6
1,2,Buster Douglas,USA,2,Boxing,1990,26.0
2,3,Sugar Ray Leonard,USA,3,Boxing,1990,13.0
3,4,Ayrton Senna,Brazil,4,Auto Racing,1990,10.0
4,5,Alain Prost,France,5,Auto Racing,1990,9.0
5,6,Jack Nicklaus,USA,6,Golf,1990,8.6
6,7,Greg Norman,Australia,7,Golf,1990,8.5
7,8,Michael Jordan,USA,8,Basketball,1990,8.1
8,9,Arnold Palmer,USA,8,Golf,1990,8.1
9,10,Evander Holyfield,USA,8,Boxing,1990,8.1
10,11,Evander Holyfield,USA,1,Boxing,1991,60.5
11,12,Mike Tyson,USA,2,Boxing,1991,31.5
12,13,Michael Jordan,USA,3,Basketball,1991,16.0
13,14,George Foreman,USA,4,Boxing,1991,14.5
14,15,Ayrton Senna,Brazil,5,Auto Racing,1991,13.0
15,16,Alain Prost,France,6,Auto Racing,1991,11.0
16,17,"Donovan ""Razor"" Ruddock",Canada,7,Boxing,1991,10.2
17,18,Arnold Palmer,USA,8,Golf,1991,9.3
18,19,Nigel Mansell,UK,9,Auto Racing,1991,9.0
19,20,Sugar Ray Leonard,USA,10,Golf,1991,8.5
20,21,Michael Jordan,USA,1,Basketball,1992,35.9
21,22,Evander Holyfield,USA,2,Boxing,1992,28.0
22,23,Ayrton Senna,Brazil,3,Auto Racing,1992,22.0
23,24,Nigel Mansell,UK,4,Auto Racing,1992,14.5
24,25,Arnold Palmer,USA,5,Golf,1992,11.1
25,26,Andre Agassi,USA,6,Tennis,1992,11.0
26,27,Joe Montana,USA,7,American Football,1992,9.5
27,28,Sugar Ray Leonard,USA,8,Golf,1992,9.2
28,29,Jim Courier,USA,9,Tennis,1992,9.0
29,30,Monica Seles,USA,10,Tennis,1992,8.5
30,31,Michael Jordan,USA,1,Basketball,1993,36.0
31,32,Riddick Bowe,USA,2,Boxing,1993,25.0
32,33,Ayrton Senna,Brazil,3,Auto Racing,1993,18.5
33,34,Alain Prost,France,4,Auto Racing,1993,16.0
34,35,George Foreman,USA,5,Boxing,1993,15.8
35,36,Shaquille O'Neal,USA,6,Basketball,1993,15.2
36,37,Lennox Lewis,USA,7,Boxing,1993,15.0
37,38,Cecil Fielder,USA,8,Baseball,1993,12.7
38,39,Jim Courier,USA,9,Tennis,1993,12.6
39,40,Joe Montana,USA,10,American Football,1993,11.5
40,41,Michael Jordan,USA,1,Basketball,1994,30.0
41,42,Shaq O'Neal,USA,2,Basketball,1994,16.7
42,43,Jack Nicklaus,USA,3,Golf,1994,14.8
43,44,Arnold Palmer,USA,4,Golf,1994,13.6
44,45,Gerhard Berger,Austria,5,Auto Racing,1994,13.5
45,46,Wayne Gretzky,Canada,5,Hockey,1994,13.5
46,47,Michael Moorer,USA,7,Boxing,1994,12.1
47,48,Evander Holyfield,USA,8,Boxing,1994,12.0
48,49,Andre Agassi,USA,9,Tennis,1994,11.4
49,50,Nigel Mansell,UK,10,Auto Racing,1994,11.3
50,51,Michael Jordan,USA,1,Basketball,1995,43.9
51,52,Mike Tyson,USA,2,Boxing,1995,40.0
52,53,Deion Sanders,USA,3,Baseball,1995,22.5
53,54,Riddick Bowe,USA,4,Boxing,1995,22.2
54,55,Shaquille O'Neal,USA,5,Basketball,1995,21.9
55,56,George Foreman,USA,6,Boxing,1995,18.0
56,57,Andre Agassi,USA,7,Tennis,1995,16.0
57,58,Sugar Ray Leonard,USA,8,Golf,1995,15.1
58,59,Michael Schumacher,Germany,9,Auto Racing,1995,15.0
59,60,Wayne Gretzky,Canada,10,Hockey,1995,14.5
60,61,Mike Tyson,USA,1,Boxing,1996,75.0
61,62,Michael Jordan,USA,2,Basketball,1996,52.6
62,63,Michael Schumacher,Germany,3,Auto Racing,1996,33.0
63,64,Shaquille O'Neal,USA,4,Basketball,1996,24.4
64,65,Emmit Smith,USA,5,American Football,1996,16.5
65,66,Evander Holyfield,USA,6,Boxing,1996,15.5
66,67,Andre Agassi,USA,7,Tennis,1996,15.2
67,68,Arnold Palmer,USA,8,Golf,1996,15.1
68,69,Dennis Rodman,USA,9,Basketball,1996,12.9
69,70,Patrick Ewing,USA,9,Basketball,1996,12.9
70,71,Michael Jordan,USA,1,Basketball,1997,78.3
71,72,Evander Holyfield,USA,2,Boxing,1997,54.3
72,73,Oscar De La Hoya,USA,3,Boxing,1997,38.0
73,74,Michael Schumacher,Germany,4,Auto Racing,1997,35.0
74,75,Mike Tyson,USA,5,Boxing,1997,27.0
75,76,Tiger Woods,USA,6,Golf,1997,26.1
76,77,Shaquille O'Neal,USA,7,Basketball,1997,25.4
77,78,Dale Earnhardt,USA,8,Nascar,1997,19.1
78,79,Joe Sakic,Canada,9,Hockey,1997,17.9
79,80,Grant Hill,USA,10,Basketball,1997,17.0
80,81,Michael Jordan,USA,1,Basketball,1998,69.0
81,82,Michael Schumacher,Germany,2,Auto Racing,1998,38.0
82,83,Sergei Federov,Russia,3,Hockey,1998,29.8
83,84,Tiger Woods,USA,4,Golf,1998,26.8
84,85,Dale Earnhardt,USA,5,Nascar,1998,24.1
85,86,Grant Hill,USA,6,Basketball,1998,21.6
86,87,Oscar De La Hoya,USA,7,Boxing,1998,18.5
87,88,Patrick Ewing,USA,8,Basketball,1998,18.3
88,89,Arnold Palmer,USA,9,Golf,1998,18.1
89,90,Gary Sheffield,USA,10,Baseball,1998,17.2
90,91,Michael Schumacher,Germany,1,Auto Racing,1999,49.0
91,92,Tiger Woods,USA,2,Golf,1999,47.0
92,93,Oscar De La Hoya,USA,3,Boxing,1999,43.5
93,94,Michael Jordan,USA,4,Basketball,1999,40.0
94,95,Evander Holyfield,USA,5,Boxing,1999,35.5
95,96,Mike Tyson,USA,6,Boxing,1999,33.0
96,97,Shaq O'Neal,USA,7,Basketball,1999,31.0
97,98,Lennox Lewis,USA,8,Boxing,1999,29.0
98,99,Dale Earnhardt,USA,9,Auto Racing,1999,26.5
99,100,Grant Hill,USA,10,Basketball,1999,23.0
100,101,Michael Schumacher,Germany,1,Auto Racing,2000,59.0
101,102,Tiger Woods,USA,2,Golf,2000,53.0
102,103,Mike Tyson,USA,3,Boxing,2000,48.0
103,104,Michael Jordan,USA,4,Basketball,2000,37.0
104,105,Grant Hill,USA,5,Basketball,2000,26.0
105,106,Dale Earnhardt,USA,6,Nascar,2000,24.5
106,107,Shaq O'Neal,USA,7,Basketball,2000,24.0
107,108,Lennox Lewis,USA,8,Boxing,2000,23.0
108,109,Oscar De La Hoya,USA,9,Boxing,2000,23.0
109,110,Kevin Garnett,USA,10,Basketball,2000,21.0
110,111,Tiger Woods,USA,1,Golf,2002,69.0
111,112,Michael Schumacher,Germany,2,Auto Racing,2002,67.0
112,113,Michael Jordan,USA,3,Basketball,2002,36.0
113,114,Lennox Lewis,USA,4,Boxing,2002,28.0
114,115,Grant Hill,USA,5,Basketball,2002,24.0
115,116,Shaquille O'Neal,USA,5,Basketball,2002,24.0
